OTU_ID,Short_name,Short_name,Taxonomy,Domain,Phylum,Class,Order,Family,Genus
OTU58,(o__Nitrososphaerales) unclassified,(o__Nitrososphaerales) unclassified, d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;unclassified, d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,unclassified
OTU59,(o__Nitrososphaerales) g__,(o__Nitrososphaerales) g__, d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;unclassified;, d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,unclassified,g__
OTU60,(unclassified) g__,(unclassified) g__, d__Archaea;p__Thermoproteota;c__Nitrososphaeria;unclassified;, d__Archaea,p__Thermoproteota,c__Nitrososphaeria,unclassified,,g__
OTU61,(o__Sulfolobales) g__,(o__Sulfolobales) g__, d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;unclassified;, d__Archaea,p__Thermoproteota,c__Thermoproteia,o__Sulfolobales,unclassified,g__
OTU62,(unclassified) g__,(unclassified) g__, d__Archaea;p__Thermoproteota;c__Thermoproteia;unclassified;, d__Archaea,p__Thermoproteota,c__Thermoproteia,unclassified,,g__
OTU63,(o__) g__,(o__) g__, d__Archaea;p__Thermoproteota;unclassified;, d__Archaea,p__Thermoproteota,unclassified,o__,,g__
OTU64,(o__) g__,(o__) g__, d__Archaea;unclassified;, d__Archaea,unclassified,,o__,,g__
OTU65,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;unclassified;, d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,unclassified,,g__
OTU66,(o__Vicinamibacterales) g__SYFT01,(o__Vicinamibacterales) g__SYFT01, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__SYFT01, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__SCN-69-37,g__SYFT01
OTU67,(o__Vicinamibacterales) unclassified,(o__Vicinamibacterales) unclassified, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;unclassified, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__SCN-69-37,unclassified
OTU68,(o__Vicinamibacterales) g__12-FULL-67-14b,(o__Vicinamibacterales) g__12-FULL-67-14b, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__12-FULL-67-14b, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,g__12-FULL-67-14b
OTU69,(o__Vicinamibacterales) g__Gp6-AA40,(o__Vicinamibacterales) g__Gp6-AA40, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,g__Gp6-AA40
OTU70,(o__Vicinamibacterales) g__VFZH01,(o__Vicinamibacterales) g__VFZH01, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__VFZH01, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,g__VFZH01
OTU71,(o__Vicinamibacterales) unclassified,(o__Vicinamibacterales) unclassified, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;unclassified, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,unclassified
OTU72,(o__Vicinamibacterales) g__,(o__Vicinamibacterales) g__, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;unclassified;, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,unclassified,g__
OTU73,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;unclassified;, d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,unclassified,,g__
OTU74,(o__) g__,(o__) g__, d__Bacteria;p__Acidobacteriota;unclassified;, d__Bacteria,p__Acidobacteriota,unclassified,o__,,g__
OTU75,(o__Acidimicrobiales) g__BACL27,(o__Acidimicrobiales) g__BACL27, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__BACL27, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__BACL27
OTU76,(o__Acidimicrobiales) g__Casp-actino5,(o__Acidimicrobiales) g__Casp-actino5, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino5, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__Casp-actino5
OTU77,(o__Acidimicrobiales) g__Casp-actino8,(o__Acidimicrobiales) g__Casp-actino8, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__Casp-actino8
OTU78,(o__Acidimicrobiales) g__F1-60-MAGs027,(o__Acidimicrobiales) g__F1-60-MAGs027, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__F1-60-MAGs027, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__F1-60-MAGs027
OTU79,(o__Acidimicrobiales) g__UBA3006,(o__Acidimicrobiales) g__UBA3006, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA3006, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__UBA3006
OTU80,(o__Acidimicrobiales) unclassified,(o__Acidimicrobiales) unclassified, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;unclassified, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,unclassified
OTU81,(o__Acidimicrobiales) g__NG_44,(o__Acidimicrobiales) g__NG_44, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__NG_44, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__TK06,g__NG_44
OTU82,(o__Acidimicrobiales) unclassified,(o__Acidimicrobiales) unclassified, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;unclassified, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__TK06,unclassified
OTU83,(o__Acidimicrobiales) g__UBA11606,(o__Acidimicrobiales) g__UBA11606, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA11606,g__UBA11606
OTU84,(o__Acidimicrobiales) unclassified,(o__Acidimicrobiales) unclassified, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;unclassified, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA11606,unclassified
OTU85,(o__Acidimicrobiales) g__,(o__Acidimicrobiales) g__, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;unclassified;, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,unclassified,g__
OTU86,(o__Actinomarinales) g__Actinomarina,(o__Actinomarinales) g__Actinomarina, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Actinomarinales,f__Actinomarinaceae,g__Actinomarina
OTU87,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;unclassified;, d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,unclassified,,g__
OTU88,(o__Actinomycetales) g__Aquiluna,(o__Actinomycetales) g__Aquiluna, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Aquiluna
OTU89,(o__Actinomycetales) g__Microbacterium,(o__Actinomycetales) g__Microbacterium, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium
OTU90,(o__Actinomycetales) g__Pontimonas,(o__Actinomycetales) g__Pontimonas, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pontimonas, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Pontimonas
OTU91,(o__Actinomycetales) g__Rhodoluna,(o__Actinomycetales) g__Rhodoluna, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Rhodoluna
OTU92,(o__Actinomycetales) unclassified,(o__Actinomycetales) unclassified, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;unclassified, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,unclassified
OTU93,(o__Actinomycetales) g__,(o__Actinomycetales) g__, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;unclassified;, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,unclassified,g__
OTU94,(o__Mycobacteriales) g__,(o__Mycobacteriales) g__, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;unclassified;, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,unclassified,g__
OTU95,(o__Nanopelagicales) g__AcAMD-5,(o__Nanopelagicales) g__AcAMD-5, d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__AcAMD-5;g__AcAMD-5, d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Nanopelagicales,f__AcAMD-5,g__AcAMD-5
