OTU30,(Halobacteriales);,(o__Halobacteriales);,d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; unclassified,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,unclassified,
OTU31,(unclassified);,(unclassified);,d__Archaea; p__Halobacteriota; c__Halobacteria; unclassified,d__Archaea,p__Halobacteriota,c__Halobacteria,unclassified,,
OTU32,(Methanomicrobiales);Methanoculleus,(o__Methanomicrobiales);Methanoculleus,d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoculleaceae; Methanoculleus,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoculleaceae,Methanoculleus
OTU33,(Methanomicrobiales);unclassified,(o__Methanomicrobiales);unclassified,d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoculleaceae; unclassified,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoculleaceae,unclassified
OTU34,(Methanomicrobiales);Methanoregula,(o__Methanomicrobiales);Methanoregula,d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; Methanoregula,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,Methanoregula
OTU35,(Methanomicrobiales);unclassified,(o__Methanomicrobiales);unclassified,d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; unclassified,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,unclassified
OTU36,(Methanomicrobiales);,(o__Methanomicrobiales);,d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; unclassified,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,unclassified,
OTU37,(Methanosarcinales);Methanoperedens,(o__Methanosarcinales);Methanoperedens,d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanoperedenaceae; Methanoperedens,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanoperedenaceae,Methanoperedens
OTU38,(Methanosarcinales);unclassified,(o__Methanosarcinales);unclassified,d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; unclassified,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,unclassified
OTU39,(Methanosarcinales);,(o__Methanosarcinales);,d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; unclassified,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,unclassified,
OTU40,(Methanotrichales);unclassified,(o__Methanotrichales);unclassified,d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanotrichales; f__Methanotrichaceae; unclassified,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,unclassified
OTU41,(unclassified);,(unclassified);,d__Archaea; p__Halobacteriota; c__Methanosarcinia; unclassified,d__Archaea,p__Halobacteriota,c__Methanosarcinia,unclassified,,
OTU42,(ANME-1);,(o__ANME-1);,d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__ANME-1; unclassified,d__Archaea,p__Halobacteriota,c__Syntropharchaeia,o__ANME-1,unclassified,
OTU43,(unclassified);,(unclassified);,d__Archaea; p__Halobacteriota; c__Syntropharchaeia; unclassified,d__Archaea,p__Halobacteriota,c__Syntropharchaeia,unclassified,,
OTU44,();,();,d__Archaea; p__Halobacteriota; unclassified,d__Archaea,p__Halobacteriota,unclassified,,,
OTU45,(Hydrothermarchaeales);,(o__Hydrothermarchaeales);,d__Archaea; p__Hydrothermarchaeota; c__Hydrothermarchaeia; o__Hydrothermarchaeales; unclassified,d__Archaea,p__Hydrothermarchaeota,c__Hydrothermarchaeia,o__Hydrothermarchaeales,unclassified,
OTU46,(Iainarchaeales);unclassified,(o__Iainarchaeales);unclassified,d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; f__GCA-2688035; unclassified,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__GCA-2688035,unclassified
OTU47,(Iainarchaeales);unclassified,(o__Iainarchaeales);unclassified,d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; f__Iainarchaeaceae; unclassified,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeaceae,unclassified
OTU48,(Iainarchaeales);JABIDZ01,(o__Iainarchaeales);JABIDZ01,d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; f__JAAZKV01; JABIDZ01,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__JAAZKV01,JABIDZ01
OTU49,(Iainarchaeales);unclassified,(o__Iainarchaeales);unclassified,d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; f__JAAZKV01; unclassified,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__JAAZKV01,unclassified
OTU50,(Iainarchaeales);VGJJ01,(o__Iainarchaeales);VGJJ01,d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; f__VGJJ01; VGJJ01,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__VGJJ01,VGJJ01
OTU51,(Iainarchaeales);,(o__Iainarchaeales);,d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; unclassified,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,unclassified,
OTU52,(unclassified);,(unclassified);,d__Archaea; p__Iainarchaeota; c__Iainarchaeia; unclassified,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,unclassified,,
OTU53,(Methanobacteriales);unclassified,(o__Methanobacteriales);unclassified,d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; unclassified,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,unclassified
OTU54,(Methanobacteriales);,(o__Methanobacteriales);,d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; unclassified,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,unclassified,
OTU55,(Methanococcales);unclassified,(o__Methanococcales);unclassified,d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanococcaceae; unclassified,d__Archaea,p__Methanobacteriota_A,c__Methanococci,o__Methanococcales,f__Methanococcaceae,unclassified
OTU56,(Methanococcales);,(o__Methanococcales);,d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; unclassified,d__Archaea,p__Methanobacteriota_A,c__Methanococci,o__Methanococcales,unclassified,
OTU57,();,();,d__Archaea; p__Methanobacteriota_A; unclassified,d__Archaea,p__Methanobacteriota_A,unclassified,,,
OTU58,(Thermococcales);Thermococcus,(o__Thermococcales);Thermococcus,d__Archaea; p__Methanobacteriota_B; c__Thermococci; o__Thermococcales; f__Thermococcaceae; Thermococcus,d__Archaea,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,Thermococcus
